item_key,item_name,qty
activatable_drink_sirup_hpregen_6,activatable_drink_sirup_hpregen_6,248
activatable_foodcooked_raisins_staminaregen_6,activatable_foodcooked_raisins_staminaregen_6,4080
activatable_foodraw_berry_blackberry_hpregen_17,activatable_foodraw_berry_blackberry_hpregen_17,90
activatable_foodraw_berry_blueberry_hpregen_1,activatable_foodraw_berry_blueberry_hpregen_1,1905
activatable_foodraw_berry_raspberry_maxstamina_3,activatable_foodraw_berry_raspberry_maxstamina_3,935
activatable_foodraw_berry_rosehip_hpregen_29,activatable_foodraw_berry_rosehip_hpregen_29,6740
activatable_foodraw_deadly_nightshade_fruit_staminaregen_60,activatable_foodraw_deadly_nightshade_fruit_staminaregen_60,1805
activatable_foodraw_mushroom_amanitaregalis_maxhp__poisonous_30,activatable_foodraw_mushroom_amanitaregalis_maxhp__poisonous_30,65
activatable_foodraw_mushroom_berserker_hpregen__poisonous_13,activatable_foodraw_mushroom_berserker_hpregen__poisonous_13,90
activatable_foodraw_mushroom_chanterelle_maxhp_18,activatable_foodraw_mushroom_chanterelle_maxhp_18,2460
activatable_foodraw_mushroom_dapperling_maxstamina_47,activatable_foodraw_mushroom_dapperling_maxstamina_47,1778
activatable_foodraw_mushroom_divine_maxhp_2,activatable_foodraw_mushroom_divine_maxhp_2,365
activatable_foodraw_mushroom_enoki_hpregen_9,activatable_foodraw_mushroom_enoki_hpregen_9,1280
activatable_foodraw_mushroom_fools_webcap_hpregen__poisonous_49,activatable_foodraw_mushroom_fools_webcap_hpregen__poisonous_49,1595
activatable_foodraw_mushroom_pennybun_maxstamina_11,activatable_foodraw_mushroom_pennybun_maxstamina_11,1020
item_raw_material_animal_antler,Antler,5665
item_raw_material_animal_carcass_boar,Boar Carcass,2075
item_raw_material_animal_carcass_deer,Deer Carcass,1304
item_raw_material_animal_carcass_wolf,Wolf Carcass,300
item_raw_material_animal_fat,Animal Fat,1104
item_raw_material_animal_fibre_wool,Wool Fiber,70880
item_raw_material_animal_hoofs,Animal Hoof,5220
item_raw_material_animal_sinew,Sinew,5760
item_raw_material_animal_suet,Suet,6088
item_raw_material_bone_fragments,Bone Fragments,2154
item_raw_material_gemstone_amber,Amber,9
item_raw_material_gemstone_onyx,Onyx,25
item_raw_material_gemstone_opal,Opal,2791
item_raw_material_gemstone_pearls,Pearl,9
item_raw_material_grain_barley,Barley Grain,6310
item_raw_material_grain_oat,Oat Grain,2520
item_raw_material_grain_rye,Rye Grain,6800
item_raw_material_grain_wheat,Wheat Grain,3920
item_raw_material_heartwood_beech,Heartwood,20715
item_raw_material_medium_animal_hide_rough,Rough Animal Hide,12640
item_raw_material_ore_copper,Copper Ore,45340
item_raw_material_ore_iron_impure,Impure Iron Ore,357080
item_raw_material_ore_iron_pure,Pure Iron Ore,234520
item_raw_material_ore_silver,Silver Ore,1930
item_raw_material_ore_tin,Tin Ore,44480
item_raw_material_plant_cabbage_red,Red Cabbage,1778
item_raw_material_plant_fiber_cotton,Cotton Fiber,293120
item_raw_material_plant_fiber_flax,Flax Fiber,300630
item_raw_material_plant_fiber_flax_seeds,Flax Seeds,104150
item_raw_material_plant_flower_bushy_starworth,Starwort,1100
item_raw_material_plant_flower_dandelion,Dandelion,1270
item_raw_material_plant_flower_hops,Hops,2290
item_raw_material_plant_flower_pasque,Pasque Flower,295
item_raw_material_plant_flower_redpoppy,Red Poppy,830
item_raw_material_plant_flower_tansy,Tansy,150
item_raw_material_plant_herb_angelica,Angelica,236
item_raw_material_plant_herb_garlic,Garlic,1025
item_raw_material_plant_herb_meadowsweet,Meadowsweet,15
item_raw_material_plant_herb_mustard,Mustard,2803
item_raw_material_plant_herb_rosemary,Rosemary,508
item_raw_material_plant_onion_red,Red Onion,920
item_raw_material_plant_onion_yellow,Yellow Onion,5346
item_raw_material_rock_limestone,Limestone,4580
item_raw_material_rock_sand,Sand,376740
item_raw_material_sapwood_beech,Sapwood,7253810
item_raw_material_tree_resin,Resin,8064
