Recipe Key,recipe_activatable_potion_arcance_resistance_medium_68
Recipe Name,recipe_activatable_potion_arcance_resistance_medium_68
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,35
XPMultiplier,3.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1902,2067,2232,38,119
1,4%,1859,2020,2182,39,118
2,4%,1816,1973,2131,40,117
3,4%,1772,1927,2081,41,116
4,4%,1729,1880,2030,42,116
5,4%,1686,1833,1980,43,115
6,4%,1643,1786,1929,44,114
7,4%,1600,1739,1879,45,113
8,4%,1557,1693,1828,46,112
9,4%,1514,1646,1777,47,111
10,4%,1471,1599,1727,48,110
11,4%,1428,1552,1676,49,109
12,4%,1385,1505,1626,50,108
13,4%,1342,1459,1575,50,106
14,4%,1299,1412,1525,50,104
15,4%,1256,1365,1474,50,103
16,4%,1213,1318,1424,50,101
17,4%,1170,1271,1373,50,99
18,4%,1127,1225,1323,50,97
19,4%,1084,1178,1272,50,95
20,4%,1041,1131,1221,50,93
21,4%,997,1084,1171,50,91
22,4%,954,1037,1120,50,89
23,4%,911,991,1070,50,88
24,4%,868,944,1019,50,86
25,5%,825,897,969,50,95
26,9%,782,850,918,50,125
27,16%,739,803,868,50,170
28,26%,696,757,817,50,233
29,39%,653,710,767,50,307
30,54%,610,663,716,50,381
31,68%,567,616,665,50,436
32,80%,524,569,615,50,464
33,88%,481,523,564,50,465
34,93%,438,476,514,50,446
35,100%,46,50,54,,50
36,100%,43,47,51,,47
37,100%,40,44,48,,44
38,100%,38,41,44,,41
39,100%,35,38,41,,38
40,100%,32,35,38,,35
41,100%,29,32,35,,32
42,100%,27,29,31,,29
43,100%,24,26,28,,26
44,100%,21,23,25,,23
45+,100%,18,20,22,,20
