Recipe Key,recipe_activatable_potion_arcance_resistance_small_52
Recipe Name,recipe_activatable_potion_arcance_resistance_small_52
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,28
XPMultiplier,2.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1190,1293,1397,38,88
1,4%,1158,1259,1359,39,88
2,4%,1126,1224,1322,40,87
3,4%,1094,1189,1284,41,87
4,4%,1062,1154,1247,42,86
5,4%,1030,1119,1209,43,86
6,4%,998,1085,1171,44,86
7,4%,966,1050,1134,45,85
8,4%,934,1015,1096,46,85
9,4%,902,980,1059,47,84
10,4%,870,945,1021,48,84
11,4%,838,911,983,49,83
12,4%,806,876,946,50,83
13,4%,774,841,908,50,82
14,4%,742,806,871,50,80
15,4%,710,771,833,50,79
16,4%,678,737,796,50,77
17,4%,646,702,758,50,76
18,5%,614,667,720,50,83
19,9%,582,632,683,50,105
20,16%,550,597,645,50,137
21,26%,518,563,608,50,182
22,39%,486,528,570,50,236
23,54%,454,493,532,50,289
24,68%,422,458,495,50,328
25,80%,390,423,457,50,348
26,88%,358,389,420,50,347
27,93%,325,354,382,50,332
28,100%,40,43,46,,43
29,100%,37,40,43,,40
30,100%,34,37,40,,37
31,100%,31,34,37,,34
32,100%,29,31,33,,31
33,100%,26,28,30,,28
34,100%,23,25,27,,25
35,100%,20,22,24,,22
36,100%,17,19,21,,19
37,100%,15,16,17,,16
38+,100%,12,13,14,,13
