Recipe Key,recipe_activatable_potion_potion_of_protection_medium_61
Recipe Name,recipe_activatable_potion_potion_of_protection_medium_61
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,32
XPMultiplier,3.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1545,1680,1814,38,104
1,4%,1508,1639,1770,39,103
2,4%,1470,1598,1726,40,102
3,4%,1433,1557,1682,41,102
4,4%,1395,1516,1638,42,101
5,4%,1358,1476,1594,43,100
6,4%,1320,1435,1550,44,100
7,4%,1282,1394,1506,45,99
8,4%,1245,1353,1461,46,98
9,4%,1207,1312,1417,47,98
10,4%,1170,1272,1373,48,97
11,4%,1132,1231,1329,49,96
12,4%,1095,1190,1285,50,96
13,4%,1057,1149,1241,50,94
14,4%,1020,1108,1197,50,92
15,4%,982,1068,1153,50,91
16,4%,945,1027,1109,50,89
17,4%,907,986,1065,50,87
18,4%,870,945,1021,50,86
19,4%,832,904,977,50,84
20,4%,795,864,933,50,83
21,4%,757,823,889,50,81
22,5%,719,782,845,50,89
23,9%,682,741,800,50,115
24,16%,644,700,756,50,154
25,26%,607,660,712,50,208
26,39%,569,619,668,50,272
27,54%,532,578,624,50,335
28,68%,494,537,580,50,382
29,80%,457,496,536,50,406
30,88%,419,456,492,50,406
31,93%,382,415,448,50,389
32,100%,43,47,51,,47
33,100%,40,44,48,,44
34,100%,38,41,44,,41
35,100%,35,38,41,,38
36,100%,32,35,38,,35
37,100%,29,32,35,,32
38,100%,27,29,31,,29
39,100%,24,26,28,,26
40,100%,21,23,25,,23
41,100%,18,20,22,,20
42+,100%,16,17,18,,17
