Recipe Key,recipe_activatable_potion_potion_of_spirit_medium_63
Recipe Name,recipe_activatable_potion_potion_of_spirit_medium_63
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,33
XPMultiplier,3.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1676,1822,1967,38,109
1,4%,1636,1778,1921,39,109
2,4%,1596,1735,1874,40,108
3,4%,1557,1692,1827,41,107
4,4%,1517,1649,1781,42,106
5,4%,1477,1606,1734,43,106
6,4%,1437,1562,1687,44,105
7,4%,1398,1519,1641,45,104
8,4%,1358,1476,1594,46,103
9,4%,1318,1433,1547,47,102
10,4%,1278,1390,1501,48,102
11,4%,1239,1346,1454,49,101
12,4%,1199,1303,1407,50,100
13,4%,1159,1260,1361,50,98
14,4%,1119,1217,1314,50,97
15,4%,1080,1174,1267,50,95
16,4%,1040,1130,1221,50,93
17,4%,1000,1087,1174,50,91
18,4%,960,1044,1128,50,90
19,4%,921,1001,1081,50,88
20,4%,881,958,1034,50,86
21,4%,841,914,988,50,85
22,4%,802,871,941,50,83
23,5%,762,828,894,50,92
24,9%,722,785,848,50,119
25,16%,682,742,801,50,160
26,26%,643,698,754,50,218
27,39%,603,655,708,50,286
28,54%,563,612,661,50,353
29,68%,523,569,614,50,404
30,80%,484,526,568,50,429
31,88%,444,482,521,50,430
32,93%,404,439,474,50,412
33,100%,44,48,52,,48
34,100%,41,45,49,,45
35,100%,39,42,45,,42
36,100%,36,39,42,,39
37,100%,33,36,39,,36
38,100%,30,33,36,,33
39,100%,28,30,32,,30
40,100%,25,27,29,,27
41,100%,22,24,26,,24
42,100%,19,21,23,,21
43+,100%,17,18,19,,18
