Recipe Key,recipe_activatable_potion_potion_of_spirit_very_small_26
Recipe Name,recipe_activatable_potion_potion_of_spirit_very_small_26
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,17
XPMultiplier,1.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,552,600,648,35,58
1,4%,531,578,624,36,58
2,4%,510,555,599,37,58
3,4%,489,532,575,38,58
4,4%,468,509,550,39,58
5,4%,447,486,525,40,58
6,4%,427,464,501,41,58
7,5%,406,441,476,42,63
8,9%,385,418,451,43,78
9,16%,364,395,427,44,100
10,26%,343,372,402,45,130
11,39%,322,350,378,46,164
12,54%,301,327,353,47,198
13,68%,280,304,328,48,223
14,80%,259,281,304,49,234
15,88%,238,258,279,50,233
16,93%,217,236,254,50,223
17,100%,29,32,35,,32
18,100%,27,29,31,,29
19,100%,24,26,28,,26
20,100%,21,23,25,,23
21,100%,18,20,22,,20
22,100%,16,17,18,,17
23,100%,13,14,15,,14
24,100%,10,11,12,,11
25,100%,7,8,9,,8
26,100%,5,5,5,,5
27+,100%,2,2,2,,2
