Recipe Key,recipe_item_enchanting_consumable_tier_3
Recipe Name,recipe_item_enchanting_consumable_tier_3
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,648,704,760,35,62
1,4%,626,680,734,36,62
2,4%,604,656,708,37,62
3,4%,581,632,683,38,62
4,4%,559,608,657,39,62
5,4%,537,584,631,40,62
6,4%,515,560,605,41,62
7,4%,493,536,579,42,62
8,4%,471,512,553,43,62
9,4%,449,488,527,44,62
10,5%,427,464,501,45,67
11,9%,405,440,475,46,83
12,16%,383,416,449,47,106
13,26%,361,392,423,48,137
14,39%,339,368,397,49,173
15,54%,316,344,372,50,209
16,68%,294,320,346,50,234
17,80%,272,296,320,50,246
18,88%,250,272,294,50,245
19,93%,228,248,268,50,234
20,100%,32,35,38,,35
21,100%,29,32,35,,32
22,100%,27,29,31,,29
23,100%,24,26,28,,26
24,100%,21,23,25,,23
25,100%,18,20,22,,20
26,100%,16,17,18,,17
27,100%,13,14,15,,14
28,100%,10,11,12,,11
29,100%,7,8,9,,8
30+,100%,5,5,5,,5
