Recipe Key,recipe_item_material_extract_plant_flower_soapwort
Recipe Name,recipe_item_material_extract_plant_flower_soapwort
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,7
XPMultiplier,1.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,26%,234,255,275,35,92
1,39%,220,239,258,36,115
2,54%,206,224,241,37,138
3,68%,191,208,225,38,154
4,80%,177,192,208,39,161
5,88%,163,177,191,40,160
6,93%,148,161,174,41,153
7,100%,20,22,24,,22
8,100%,17,19,21,,19
9,100%,15,16,17,,16
10,100%,12,13,14,,13
11,100%,9,10,11,,10
12,100%,6,7,8,,7
13,100%,4,4,4,,4
14,100%,1,1,1,,1
15,100%,0,0,0,,0
16,100%,0,0,0,,0
17+,100%,0,0,0,,0
