Recipe Key,recipe_item_material_extract_skullcap
Recipe Name,recipe_item_material_extract_skullcap
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,34
XPMultiplier,3.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1763,1917,2070,38,113
1,4%,1722,1872,2022,39,112
2,4%,1682,1828,1974,40,112
3,4%,1641,1783,1926,41,111
4,4%,1600,1739,1878,42,110
5,4%,1559,1695,1830,43,109
6,4%,1518,1650,1782,44,108
7,4%,1477,1606,1734,45,107
8,4%,1436,1561,1686,46,107
9,4%,1396,1517,1638,47,106
10,4%,1355,1473,1590,48,105
11,4%,1314,1428,1542,49,104
12,4%,1273,1384,1495,50,103
13,4%,1232,1339,1447,50,102
14,4%,1191,1295,1399,50,100
15,4%,1151,1251,1351,50,98
16,4%,1110,1206,1303,50,96
17,4%,1069,1162,1255,50,94
18,4%,1028,1117,1207,50,93
19,4%,987,1073,1159,50,91
20,4%,946,1029,1111,50,89
21,4%,905,984,1063,50,87
22,4%,865,940,1015,50,86
23,4%,824,895,967,50,84
24,5%,783,851,919,50,93
25,9%,742,807,871,50,121
26,16%,701,762,823,50,164
27,26%,660,718,775,50,223
28,39%,620,673,727,50,293
29,54%,579,629,679,50,362
30,68%,538,585,631,50,415
31,80%,497,540,583,50,441
32,88%,456,496,535,50,442
33,93%,415,451,488,50,423
34,100%,45,49,53,,49
35,100%,42,46,50,,46
36,100%,40,43,46,,43
37,100%,37,40,43,,40
38,100%,34,37,40,,37
39,100%,31,34,37,,34
40,100%,29,31,33,,31
41,100%,26,28,30,,28
42,100%,23,25,27,,25
43,100%,20,22,24,,22
44+,100%,17,19,21,,19
