Recipe Key,recipe_wearable_metal_chest_pilgrim_bol2_t4_uncommon
Recipe Name,recipe_wearable_metal_chest_pilgrim_bol2_t4_uncommon
Skill,skill_armor_smithing
UnlockAtSkillLevel,20
SkillDifficulty,34
XPMultiplier,4.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,1253,1362,1471,38,91
21,4%,1199,1303,1408,39,90
22,4%,1145,1245,1344,40,88
23,4%,1091,1186,1281,41,87
24,5%,1037,1127,1217,42,100
25,9%,983,1068,1154,43,139
26,16%,929,1009,1090,44,198
27,26%,875,951,1027,45,279
28,39%,820,892,963,46,376
29,54%,766,833,900,47,471
30,68%,712,774,836,48,543
31,80%,658,715,773,49,580
32,88%,604,657,709,50,583
33,93%,550,598,646,50,559
34,100%,45,49,53,,49
35,100%,42,46,50,,46
36,100%,40,43,46,,43
37,100%,37,40,43,,40
38,100%,34,37,40,,37
39,100%,31,34,37,,34
40,100%,29,31,33,,31
41,100%,26,28,30,,28
42,100%,23,25,27,,25
43,100%,20,22,24,,22
44+,100%,17,19,21,,19
