Recipe Key,recipe_wearable_metal_feet_pilgrim_boj2_t1_uncommon
Recipe Name,Pilgrim's Sabatons
Skill,skill_armor_smithing
UnlockAtSkillLevel,4
SkillDifficulty,8
XPMultiplier,1.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
4,68%,191,208,225,35,153
5,80%,177,192,208,36,161
6,88%,163,177,191,37,160
7,93%,148,161,174,38,153
8,100%,21,23,25,,23
9,100%,18,20,22,,20
10,100%,16,17,18,,17
11,100%,13,14,15,,14
12,100%,10,11,12,,11
13,100%,7,8,9,,8
14,100%,5,5,5,,5
15,100%,2,2,2,,2
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18+,100%,0,0,0,,0
