Recipe Key,recipe_wearable_metal_feet_pilgrim_boj2_t4_uncommon
Recipe Name,Pilgrim's Sabatons IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,22
SkillDifficulty,37
XPMultiplier,5.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
22,4%,1467,1595,1723,38,100
23,4%,1407,1529,1651,39,99
24,4%,1346,1463,1580,40,97
25,4%,1285,1397,1509,41,95
26,4%,1225,1331,1437,42,94
27,5%,1164,1265,1366,43,108
28,9%,1103,1199,1295,44,153
29,16%,1042,1133,1224,45,219
30,26%,982,1067,1152,46,310
31,39%,921,1001,1081,47,419
32,54%,860,935,1010,48,526
33,68%,799,869,939,49,608
34,80%,739,803,867,50,650
35,88%,678,737,796,50,653
36,93%,617,671,725,50,627
37,100%,48,52,56,,52
38,100%,45,49,53,,49
39,100%,42,46,50,,46
40,100%,40,43,46,,43
41,100%,37,40,43,,40
42,100%,34,37,40,,37
43,100%,31,34,37,,34
44,100%,29,31,33,,31
45,100%,26,28,30,,28
46,100%,23,25,27,,25
47+,100%,20,22,24,,22
