Recipe Key,recipe_wearable_metal_head_warrior_qr_t4_uncommon
Recipe Name,recipe_wearable_metal_head_warrior_qr_t4_uncommon
Skill,skill_armor_smithing
UnlockAtSkillLevel,24
SkillDifficulty,39
XPMultiplier,6.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
24,4%,1654,1798,1942,38,108
25,4%,1586,1724,1861,39,106
26,4%,1517,1649,1781,40,104
27,4%,1449,1575,1701,41,102
28,4%,1380,1500,1620,42,100
29,5%,1312,1426,1540,43,117
30,9%,1243,1352,1460,44,167
31,16%,1175,1277,1379,45,242
32,26%,1107,1203,1299,46,345
33,39%,1038,1128,1219,47,468
34,54%,970,1054,1138,48,591
35,68%,901,980,1058,49,684
36,80%,833,905,978,50,732
37,88%,764,831,897,50,736
38,93%,696,756,817,50,707
39,100%,50,54,58,,54
40,100%,47,51,55,,51
41,100%,44,48,52,,48
42,100%,41,45,49,,45
43,100%,39,42,45,,42
44,100%,36,39,42,,39
45,100%,33,36,39,,36
46,100%,30,33,36,,33
47,100%,28,30,32,,30
48,100%,25,27,29,,27
49+,100%,22,24,26,,24
