Recipe Key,recipe_wearable_metal_legs_ironside_ps_t3_rare
Recipe Name,Ironside's Greaves of Sacred Guard III
Skill,skill_armor_smithing
UnlockAtSkillLevel,0
SkillDifficulty,29
XPMultiplier,8.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,3497,3801,4106,38,189
1,4%,3406,3702,3998,39,186
2,4%,3314,3602,3890,40,182
3,4%,3222,3503,3783,41,179
4,4%,3131,3403,3675,42,176
5,4%,3039,3303,3568,43,173
6,4%,2947,3204,3460,44,170
7,4%,2856,3104,3353,45,167
8,4%,2764,3005,3245,46,164
9,4%,2673,2905,3137,47,161
10,4%,2581,2805,3030,48,158
11,4%,2489,2706,2922,49,155
12,4%,2398,2606,2815,50,152
13,4%,2306,2507,2707,50,148
14,4%,2214,2407,2600,50,144
15,4%,2123,2307,2492,50,140
16,4%,2031,2208,2384,50,136
17,4%,1940,2108,2277,50,132
18,4%,1848,2009,2169,50,128
19,5%,1756,1909,2062,50,150
20,9%,1665,1809,1954,50,215
21,16%,1573,1710,1847,50,315
22,26%,1481,1610,1739,50,453
23,39%,1390,1511,1631,50,619
24,54%,1298,1411,1524,50,784
25,68%,1206,1311,1416,50,910
26,80%,1115,1212,1309,50,976
27,88%,1023,1112,1201,50,983
28,93%,932,1013,1094,50,945
29,100%,40,44,48,,44
30,100%,38,41,44,,41
31,100%,35,38,41,,38
32,100%,32,35,38,,35
33,100%,29,32,35,,32
34,100%,27,29,31,,29
35,100%,24,26,28,,26
36,100%,21,23,25,,23
37,100%,18,20,22,,20
38,100%,16,17,18,,17
39+,100%,13,14,15,,14
