Recipe Key,recipe_activatable_foodcooked_sweet_and_dessert_damagebuff_23
Recipe Name,Simple Whitbread
Skill,skill_baking
UnlockAtSkillLevel,8
SkillDifficulty,19
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
8,4%,449,488,527,35,53
9,5%,427,464,501,36,59
10,9%,405,440,475,37,75
11,16%,383,416,449,38,98
12,26%,361,392,423,39,130
13,39%,339,368,397,40,168
14,54%,316,344,372,41,204
15,68%,294,320,346,42,232
16,80%,272,296,320,43,245
17,88%,250,272,294,44,244
18,93%,228,248,268,45,234
19,100%,31,34,37,,34
20,100%,29,31,33,,31
21,100%,26,28,30,,28
22,100%,23,25,27,,25
23,100%,20,22,24,,22
24,100%,17,19,21,,19
25,100%,15,16,17,,16
26,100%,12,13,14,,13
27,100%,9,10,11,,10
28,100%,6,7,8,,7
29+,100%,4,4,4,,4
