Recipe Key,recipe_crafter_smelter_furnace_1
Recipe Name,Furnace
Skill,skill_blacksmithing
UnlockAtSkillLevel,0
SkillDifficulty,21
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,871,946,1022,35,71
1,4%,842,915,988,36,71
2,4%,813,884,955,37,71
3,4%,785,853,921,38,71
4,4%,756,822,887,39,70
5,4%,727,790,854,40,70
6,4%,698,759,820,41,70
7,4%,670,728,786,42,69
8,4%,641,697,753,43,69
9,4%,612,666,719,44,69
10,4%,584,634,685,45,69
11,5%,555,603,651,46,76
12,9%,526,572,618,47,96
13,16%,498,541,584,48,127
14,26%,469,510,550,49,168
15,39%,440,478,517,50,217
16,54%,411,447,483,50,264
17,68%,383,416,449,50,300
18,80%,354,385,416,50,317
19,88%,325,354,382,50,317
20,93%,297,322,348,50,303
21,100%,33,36,39,,36
22,100%,30,33,36,,33
23,100%,28,30,32,,30
24,100%,25,27,29,,27
25,100%,22,24,26,,24
26,100%,19,21,23,,21
27,100%,17,18,19,,18
28,100%,14,15,16,,15
29,100%,11,12,13,,12
30,100%,8,9,10,,9
31+,100%,6,6,6,,6
