Recipe Key,recipe_item_material_ingot_gold
Recipe Name,recipe_item_material_ingot_gold
Skill,skill_blacksmithing
UnlockAtSkillLevel,30
SkillDifficulty,40
XPMultiplier,4.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
30,5%,952,1035,1118,38,91
31,9%,903,981,1059,39,127
32,16%,853,927,1001,40,182
33,26%,803,873,943,41,256
34,39%,753,819,885,42,345
35,54%,704,765,826,43,432
36,68%,654,711,768,44,499
37,80%,604,657,710,45,533
38,88%,555,603,651,46,535
39,93%,505,549,593,47,514
40,100%,51,55,59,,55
41,100%,48,52,56,,52
42,100%,45,49,53,,49
43,100%,42,46,50,,46
44,100%,40,43,46,,43
45,100%,37,40,43,,40
46,100%,34,37,40,,37
47,100%,31,34,37,,34
48,100%,29,31,33,,31
49,100%,26,28,30,,28
50+,100%,23,25,27,,25
