Recipe Key,recipe_item_material_ingot_wrought_iron_upcycle
Recipe Name,recipe_item_material_ingot_wrought_iron_upcycle
Skill,skill_blacksmithing
UnlockAtSkillLevel,9
SkillDifficulty,20
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,449,488,527,35,53
10,5%,427,464,501,36,59
11,9%,405,440,475,37,75
12,16%,383,416,449,38,98
13,26%,361,392,423,39,130
14,39%,339,368,397,40,168
15,54%,316,344,372,41,204
16,68%,294,320,346,42,232
17,80%,272,296,320,43,245
18,88%,250,272,294,44,244
19,93%,228,248,268,45,234
20,100%,32,35,38,,35
21,100%,29,32,35,,32
22,100%,27,29,31,,29
23,100%,24,26,28,,26
24,100%,21,23,25,,23
25,100%,18,20,22,,20
26,100%,16,17,18,,17
27,100%,13,14,15,,14
28,100%,10,11,12,,11
29,100%,7,8,9,,8
30+,100%,5,5,5,,5
