Recipe Key,recipe_item_material_iron_knife_blade
Recipe Name,recipe_item_material_iron_knife_blade
Skill,skill_blacksmithing
UnlockAtSkillLevel,6
SkillDifficulty,13
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
6,26%,270,294,318,35,102
7,39%,254,276,298,36,130
8,54%,237,258,279,37,156
9,68%,221,240,259,38,176
10,80%,204,222,240,39,185
11,88%,188,204,220,40,184
12,93%,171,186,201,41,176
13,100%,26,28,30,,28
14,100%,23,25,27,,25
15,100%,20,22,24,,22
16,100%,17,19,21,,19
17,100%,15,16,17,,16
18,100%,12,13,14,,13
19,100%,9,10,11,,10
20,100%,6,7,8,,7
21,100%,4,4,4,,4
22,100%,1,1,1,,1
23+,100%,0,0,0,,0
