Recipe Key,recipe_item_material_steel_arrowhead
Recipe Name,recipe_item_material_steel_arrowhead
Skill,skill_blacksmithing
UnlockAtSkillLevel,25
SkillDifficulty,40
XPMultiplier,4.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
25,4%,1147,1247,1347,38,86
26,4%,1100,1195,1291,39,85
27,4%,1052,1144,1235,40,84
28,4%,1005,1092,1180,41,83
29,4%,957,1041,1124,42,82
30,5%,910,989,1068,43,94
31,9%,862,937,1012,44,128
32,16%,815,886,957,45,179
33,26%,767,834,901,46,250
34,39%,720,783,845,47,334
35,54%,673,731,789,48,416
36,68%,625,679,734,49,479
37,80%,578,628,678,50,511
38,88%,530,576,622,50,512
39,93%,483,525,567,50,491
40,100%,51,55,59,,55
41,100%,48,52,56,,52
42,100%,45,49,53,,49
43,100%,42,46,50,,46
44,100%,40,43,46,,43
45,100%,37,40,43,,40
46,100%,34,37,40,,37
47,100%,31,34,37,,34
48,100%,29,31,33,,31
49,100%,26,28,30,,28
50+,100%,23,25,27,,25
