Recipe Key,recipe_item_unlock_crafter_jewelcrafting_workbench_1
Recipe Name,Basic Jewelcrafting Tools
Skill,skill_blacksmithing
UnlockAtSkillLevel,5
SkillDifficulty,10
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
5,54%,237,258,279,35,155
6,68%,221,240,259,36,175
7,80%,204,222,240,37,185
8,88%,188,204,220,38,184
9,93%,171,186,201,39,176
10,100%,23,25,27,,25
11,100%,20,22,24,,22
12,100%,17,19,21,,19
13,100%,15,16,17,,16
14,100%,12,13,14,,13
15,100%,9,10,11,,10
16,100%,6,7,8,,7
17,100%,4,4,4,,4
18,100%,1,1,1,,1
19,100%,0,0,0,,0
20+,100%,0,0,0,,0
