Recipe Key,recipe_item_vial_large
Recipe Name,recipe_item_vial_large
Skill,skill_blacksmithing
UnlockAtSkillLevel,17
SkillDifficulty,31
XPMultiplier,3.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
17,4%,767,834,901,38,70
18,4%,734,798,862,39,69
19,4%,701,762,823,40,69
20,4%,668,726,784,41,68
21,5%,635,690,745,42,77
22,9%,602,654,706,43,100
23,16%,569,618,667,44,136
24,26%,535,582,629,45,184
25,39%,502,546,590,46,241
26,54%,469,510,551,47,297
27,68%,436,474,512,48,339
28,80%,403,438,473,49,359
29,88%,370,402,434,50,359
30,93%,337,366,395,50,344
31,100%,42,46,50,,46
32,100%,40,43,46,,43
33,100%,37,40,43,,40
34,100%,34,37,40,,37
35,100%,31,34,37,,34
36,100%,29,31,33,,31
37,100%,26,28,30,,28
38,100%,23,25,27,,25
39,100%,20,22,24,,22
40,100%,17,19,21,,19
41+,100%,15,16,17,,16
