Recipe Key,recipe_building_prop_bear_rug
Recipe Name,Bear Rug
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,13
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,35,34
1,4%,0,0,0,36,35
2,4%,0,0,0,37,36
3,5%,0,0,0,38,36
4,9%,0,0,0,39,35
5,16%,0,0,0,40,34
6,26%,0,0,0,41,30
7,39%,0,0,0,42,26
8,54%,0,0,0,43,20
9,68%,0,0,0,44,14
10,80%,0,0,0,45,9
11,88%,0,0,0,46,6
12,93%,0,0,0,47,3
13,100%,26,28,30,,28
14,100%,23,25,27,,25
15,100%,20,22,24,,22
16,100%,17,19,21,,19
17,100%,15,16,17,,16
18,100%,12,13,14,,13
19,100%,9,10,11,,10
20,100%,6,7,8,,7
21,100%,4,4,4,,4
22,100%,1,1,1,,1
23+,100%,0,0,0,,0
