Recipe Key,recipe_building_prop_chandelier_metal_ornamental_tall
Recipe Name,Tall Ornamental Iron Chandelier
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,27
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,38,36
1,4%,0,0,0,39,37
2,4%,0,0,0,40,38
3,4%,0,0,0,41,39
4,4%,0,0,0,42,40
5,4%,0,0,0,43,41
6,4%,0,0,0,44,42
7,4%,0,0,0,45,43
8,4%,0,0,0,46,44
9,4%,0,0,0,47,45
10,4%,0,0,0,48,46
11,4%,0,0,0,49,47
12,4%,0,0,0,50,48
13,4%,0,0,0,50,48
14,4%,0,0,0,50,48
15,4%,0,0,0,50,48
16,4%,0,0,0,50,48
17,5%,0,0,0,50,47
18,9%,0,0,0,50,45
19,16%,0,0,0,50,42
20,26%,0,0,0,50,37
21,39%,0,0,0,50,31
22,54%,0,0,0,50,23
23,68%,0,0,0,50,16
24,80%,0,0,0,50,10
25,88%,0,0,0,50,6
26,93%,0,0,0,50,4
27,100%,39,42,45,,42
28,100%,36,39,42,,39
29,100%,33,36,39,,36
30,100%,30,33,36,,33
31,100%,28,30,32,,30
32,100%,25,27,29,,27
33,100%,22,24,26,,24
34,100%,19,21,23,,21
35,100%,17,18,19,,18
36,100%,14,15,16,,15
37+,100%,11,12,13,,12
