Recipe Key,recipe_building_prop_ornamented_chair_03
Recipe Name,Sturdy Chair
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,30
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,38,36
1,4%,0,0,0,39,37
2,4%,0,0,0,40,38
3,4%,0,0,0,41,39
4,4%,0,0,0,42,40
5,4%,0,0,0,43,41
6,4%,0,0,0,44,42
7,4%,0,0,0,45,43
8,4%,0,0,0,46,44
9,4%,0,0,0,47,45
10,4%,0,0,0,48,46
11,4%,0,0,0,49,47
12,4%,0,0,0,50,48
13,4%,0,0,0,50,48
14,4%,0,0,0,50,48
15,4%,0,0,0,50,48
16,4%,0,0,0,50,48
17,4%,0,0,0,50,48
18,4%,0,0,0,50,48
19,4%,0,0,0,50,48
20,5%,0,0,0,50,47
21,9%,0,0,0,50,45
22,16%,0,0,0,50,42
23,26%,0,0,0,50,37
24,39%,0,0,0,50,31
25,54%,0,0,0,50,23
26,68%,0,0,0,50,16
27,80%,0,0,0,50,10
28,88%,0,0,0,50,6
29,93%,0,0,0,50,4
30,100%,41,45,49,,45
31,100%,39,42,45,,42
32,100%,36,39,42,,39
33,100%,33,36,39,,36
34,100%,30,33,36,,33
35,100%,28,30,32,,30
36,100%,25,27,29,,27
37,100%,22,24,26,,24
38,100%,19,21,23,,21
39,100%,17,18,19,,18
40+,100%,14,15,16,,15
