Recipe Key,recipe_building_prop_reinforced_chest_02
Recipe Name,recipe_building_prop_reinforced_chest_02
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,23
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,35,34
1,4%,0,0,0,36,35
2,4%,0,0,0,37,36
3,4%,0,0,0,38,36
4,4%,0,0,0,39,37
5,4%,0,0,0,40,38
6,4%,0,0,0,41,39
7,4%,0,0,0,42,40
8,4%,0,0,0,43,41
9,4%,0,0,0,44,42
10,4%,0,0,0,45,43
11,4%,0,0,0,46,44
12,4%,0,0,0,47,45
13,5%,0,0,0,48,45
14,9%,0,0,0,49,44
15,16%,0,0,0,50,42
16,26%,0,0,0,50,37
17,39%,0,0,0,50,31
18,54%,0,0,0,50,23
19,68%,0,0,0,50,16
20,80%,0,0,0,50,10
21,88%,0,0,0,50,6
22,93%,0,0,0,50,4
23,100%,35,38,41,,38
24,100%,32,35,38,,35
25,100%,29,32,35,,32
26,100%,27,29,31,,29
27,100%,24,26,28,,26
28,100%,21,23,25,,23
29,100%,18,20,22,,20
30,100%,16,17,18,,17
31,100%,13,14,15,,14
32,100%,10,11,12,,11
33+,100%,7,8,9,,8
