Recipe Key,recipe_building_prop_shutter_square_curved_right
Recipe Name,recipe_building_prop_shutter_square_curved_right
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,15
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,35,34
1,4%,0,0,0,36,35
2,4%,0,0,0,37,36
3,4%,0,0,0,38,36
4,4%,0,0,0,39,37
5,5%,0,0,0,40,38
6,9%,0,0,0,41,37
7,16%,0,0,0,42,35
8,26%,0,0,0,43,32
9,39%,0,0,0,44,27
10,54%,0,0,0,45,21
11,68%,0,0,0,46,15
12,80%,0,0,0,47,10
13,88%,0,0,0,48,6
14,93%,0,0,0,49,3
15,100%,28,30,32,,30
16,100%,25,27,29,,27
17,100%,22,24,26,,24
18,100%,19,21,23,,21
19,100%,17,18,19,,18
20,100%,14,15,16,,15
21,100%,11,12,13,,12
22,100%,8,9,10,,9
23,100%,6,6,6,,6
24,100%,3,3,3,,3
25+,100%,0,0,0,,0
