Recipe Key,recipe_building_prop_shutter_square_left
Recipe Name,Square Shutter
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,8
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,16%,0,0,0,35,29
1,26%,0,0,0,36,27
2,39%,0,0,0,37,23
3,54%,0,0,0,38,18
4,68%,0,0,0,39,12
5,80%,0,0,0,40,8
6,88%,0,0,0,41,5
7,93%,0,0,0,42,3
8,100%,21,23,25,,23
9,100%,18,20,22,,20
10,100%,16,17,18,,17
11,100%,13,14,15,,14
12,100%,10,11,12,,11
13,100%,7,8,9,,8
14,100%,5,5,5,,5
15,100%,2,2,2,,2
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18+,100%,0,0,0,,0
