Recipe Key,recipe_building_prop_stone_planter_rectangular
Recipe Name,recipe_building_prop_stone_planter_rectangular
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,6
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,39%,0,0,0,35,21
1,54%,0,0,0,36,17
2,68%,0,0,0,37,12
3,80%,0,0,0,38,8
4,88%,0,0,0,39,5
5,93%,0,0,0,40,3
6,100%,19,21,23,,21
7,100%,17,18,19,,18
8,100%,14,15,16,,15
9,100%,11,12,13,,12
10,100%,8,9,10,,9
11,100%,6,6,6,,6
12,100%,3,3,3,,3
13,100%,0,0,0,,0
14,100%,0,0,0,,0
15,100%,0,0,0,,0
16+,100%,0,0,0,,0
