Recipe Key,recipe_item_prop_door_wooden_painted
Recipe Name,Elegant Wooden Door
Skill,skill_building
UnlockAtSkillLevel,23
SkillDifficulty,30
XPMultiplier,3.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
23,26%,571,621,670,38,189
24,39%,536,582,629,39,251
25,54%,500,544,588,40,312
26,68%,465,506,546,41,358
27,80%,430,467,505,42,381
28,88%,394,429,463,43,382
29,93%,359,390,422,44,366
30,100%,41,45,49,,45
31,100%,39,42,45,,42
32,100%,36,39,42,,39
33,100%,33,36,39,,36
34,100%,30,33,36,,33
35,100%,28,30,32,,30
36,100%,25,27,29,,27
37,100%,22,24,26,,24
38,100%,19,21,23,,21
39,100%,17,18,19,,18
40+,100%,14,15,16,,15
