Recipe Key,recipe_item_prop_large_window_planter_simple
Recipe Name,Window Flowerpot
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,13
XPMultiplier,1.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,394,429,463,35,51
1,4%,377,410,442,36,51
2,4%,359,390,422,37,51
3,5%,342,371,401,38,56
4,9%,324,352,380,39,68
5,16%,306,333,359,40,87
6,26%,289,314,339,41,111
7,39%,271,294,318,42,140
8,54%,253,275,297,43,168
9,68%,236,256,276,44,189
10,80%,218,237,256,45,198
11,88%,200,218,235,46,197
12,93%,183,198,214,47,188
13,100%,26,28,30,,28
14,100%,23,25,27,,25
15,100%,20,22,24,,22
16,100%,17,19,21,,19
17,100%,15,16,17,,16
18,100%,12,13,14,,13
19,100%,9,10,11,,10
20,100%,6,7,8,,7
21,100%,4,4,4,,4
22,100%,1,1,1,,1
23+,100%,0,0,0,,0
