Recipe Key,recipe_item_prop_ornamented_chair_02
Recipe Name,Decorated Chair
Skill,skill_building
UnlockAtSkillLevel,19
SkillDifficulty,25
XPMultiplier,2.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
19,39%,419,455,491,38,201
20,54%,391,425,459,39,247
21,68%,363,395,427,40,282
22,80%,336,365,394,41,299
23,88%,308,335,362,42,299
24,93%,281,305,329,43,287
25,100%,37,40,43,,40
26,100%,34,37,40,,37
27,100%,31,34,37,,34
28,100%,29,31,33,,31
29,100%,26,28,30,,28
30,100%,23,25,27,,25
31,100%,20,22,24,,22
32,100%,17,19,21,,19
33,100%,15,16,17,,16
34,100%,12,13,14,,13
35+,100%,9,10,11,,10
