Recipe Key,recipe_item_prop_simple_bed
Recipe Name,recipe_item_prop_simple_bed
Skill,skill_building
UnlockAtSkillLevel,4
SkillDifficulty,8
XPMultiplier,1.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
4,68%,206,224,242,35,164
5,80%,191,207,224,36,172
6,88%,175,190,206,37,172
7,93%,160,174,187,38,164
8,100%,21,23,25,,23
9,100%,18,20,22,,20
10,100%,16,17,18,,17
11,100%,13,14,15,,14
12,100%,10,11,12,,11
13,100%,7,8,9,,8
14,100%,5,5,5,,5
15,100%,2,2,2,,2
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18+,100%,0,0,0,,0
