Recipe Key,recipe_item_prop_stone_planter_with_frieze
Recipe Name,recipe_item_prop_stone_planter_with_frieze
Skill,skill_building
UnlockAtSkillLevel,24
SkillDifficulty,31
XPMultiplier,3.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
24,26%,535,582,629,38,179
25,39%,502,546,590,39,237
26,54%,469,510,551,40,293
27,68%,436,474,512,41,336
28,80%,403,438,473,42,358
29,88%,370,402,434,43,358
30,93%,337,366,395,44,343
31,100%,42,46,50,,46
32,100%,40,43,46,,43
33,100%,37,40,43,,40
34,100%,34,37,40,,37
35,100%,31,34,37,,34
36,100%,29,31,33,,31
37,100%,26,28,30,,28
38,100%,23,25,27,,25
39,100%,20,22,24,,22
40,100%,17,19,21,,19
41+,100%,15,16,17,,16
