Recipe Key,recipe_item_prop_wooden_barrel_medium
Recipe Name,Wooden Barrel
Skill,skill_building
UnlockAtSkillLevel,6
SkillDifficulty,11
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
6,54%,237,258,279,35,155
7,68%,221,240,259,36,175
8,80%,204,222,240,37,185
9,88%,188,204,220,38,184
10,93%,171,186,201,39,176
11,100%,24,26,28,,26
12,100%,21,23,25,,23
13,100%,18,20,22,,20
14,100%,16,17,18,,17
15,100%,13,14,15,,14
16,100%,10,11,12,,11
17,100%,7,8,9,,8
18,100%,5,5,5,,5
19,100%,2,2,2,,2
20,100%,0,0,0,,0
21+,100%,0,0,0,,0
