Recipe Key,recipe_basic_butchered_wolf
Recipe Name,recipe_basic_butchered_wolf
Skill,skill_charcuterie
UnlockAtSkillLevel,8
SkillDifficulty,18
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
8,5%,384,418,451,35,55
9,9%,364,396,428,36,70
10,16%,344,374,404,37,91
11,26%,325,353,381,38,119
12,39%,305,331,358,39,153
13,54%,285,310,334,40,185
14,68%,265,288,311,41,209
15,80%,245,266,288,42,221
16,88%,225,245,264,43,220
17,93%,205,223,241,44,211
18,100%,30,33,36,,33
19,100%,28,30,32,,30
20,100%,25,27,29,,27
21,100%,22,24,26,,24
22,100%,19,21,23,,21
23,100%,17,18,19,,18
24,100%,14,15,16,,15
25,100%,11,12,13,,12
26,100%,8,9,10,,9
27,100%,6,6,6,,6
28+,100%,3,3,3,,3
