Recipe Key,recipe_standard-cut_bear
Recipe Name,Well Parted Bear
Skill,skill_charcuterie
UnlockAtSkillLevel,11
SkillDifficulty,24
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
11,4%,567,616,666,35,58
12,4%,542,589,636,36,58
13,4%,516,561,606,37,58
14,5%,491,534,576,38,65
15,9%,466,506,546,39,83
16,16%,440,478,517,40,110
17,26%,415,451,487,41,147
18,39%,389,423,457,42,191
19,54%,364,396,427,43,233
20,68%,339,368,397,44,265
21,80%,313,340,368,45,281
22,88%,288,313,338,46,280
23,93%,262,285,308,47,268
24,100%,36,39,42,,39
25,100%,33,36,39,,36
26,100%,30,33,36,,33
27,100%,28,30,32,,30
28,100%,25,27,29,,27
29,100%,22,24,26,,24
30,100%,19,21,23,,21
31,100%,17,18,19,,18
32,100%,14,15,16,,15
33,100%,11,12,13,,12
34+,100%,8,9,10,,9
