Recipe Key,recipe_activatable_drink_sirup_hpregen_33
Recipe Name,recipe_activatable_drink_sirup_hpregen_33
Skill,skill_cooking
UnlockAtSkillLevel,14
SkillDifficulty,28
XPMultiplier,2.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
14,4%,716,778,841,38,68
15,4%,685,745,804,39,67
16,4%,654,711,768,40,67
17,4%,623,678,732,41,66
18,5%,592,644,696,42,74
19,9%,562,610,659,43,96
20,16%,531,577,623,44,129
21,26%,500,543,587,45,174
22,39%,469,510,550,46,227
23,54%,438,476,514,47,278
24,68%,407,442,478,48,317
25,80%,376,409,442,49,336
26,88%,345,375,405,50,336
27,93%,314,342,369,50,321
28,100%,40,43,46,,43
29,100%,37,40,43,,40
30,100%,34,37,40,,37
31,100%,31,34,37,,34
32,100%,29,31,33,,31
33,100%,26,28,30,,28
34,100%,23,25,27,,25
35,100%,20,22,24,,22
36,100%,17,19,21,,19
37,100%,15,16,17,,16
38+,100%,12,13,14,,13
