Recipe Key,recipe_crafter_cooking_hearth_3
Recipe Name,recipe_crafter_cooking_hearth_3
Skill,skill_cooking
UnlockAtSkillLevel,0
SkillDifficulty,31
XPMultiplier,3.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1729,1880,2030,38,112
1,4%,1686,1833,1980,39,111
2,4%,1643,1786,1929,40,110
3,4%,1600,1739,1879,41,109
4,4%,1557,1693,1828,42,108
5,4%,1514,1646,1777,43,107
6,4%,1471,1599,1727,44,106
7,4%,1428,1552,1676,45,105
8,4%,1385,1505,1626,46,104
9,4%,1342,1459,1575,47,103
10,4%,1299,1412,1525,48,103
11,4%,1256,1365,1474,49,102
12,4%,1213,1318,1424,50,101
13,4%,1170,1271,1373,50,99
14,4%,1127,1225,1323,50,97
15,4%,1084,1178,1272,50,95
16,4%,1041,1131,1221,50,93
17,4%,997,1084,1171,50,91
18,4%,954,1037,1120,50,89
19,4%,911,991,1070,50,88
20,4%,868,944,1019,50,86
21,5%,825,897,969,50,95
22,9%,782,850,918,50,125
23,16%,739,803,868,50,170
24,26%,696,757,817,50,233
25,39%,653,710,767,50,307
26,54%,610,663,716,50,381
27,68%,567,616,665,50,436
28,80%,524,569,615,50,464
29,88%,481,523,564,50,465
30,93%,438,476,514,50,446
31,100%,42,46,50,,46
32,100%,40,43,46,,43
33,100%,37,40,43,,40
34,100%,34,37,40,,37
35,100%,31,34,37,,34
36,100%,29,31,33,,31
37,100%,26,28,30,,28
38,100%,23,25,27,,25
39,100%,20,22,24,,22
40,100%,17,19,21,,19
41+,100%,15,16,17,,16
