Recipe Key,recipe_wieldable_bow_2h_0_t4_uncommon
Recipe Name,recipe_wieldable_bow_2h_0_t4_uncommon
Skill,skill_fletching
UnlockAtSkillLevel,21
SkillDifficulty,36
XPMultiplier,5.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
21,4%,1467,1595,1723,38,100
22,4%,1407,1529,1651,39,99
23,4%,1346,1463,1580,40,97
24,4%,1285,1397,1509,41,95
25,4%,1225,1331,1437,42,94
26,5%,1164,1265,1366,43,108
27,9%,1103,1199,1295,44,153
28,16%,1042,1133,1224,45,219
29,26%,982,1067,1152,46,310
30,39%,921,1001,1081,47,419
31,54%,860,935,1010,48,526
32,68%,799,869,939,49,608
33,80%,739,803,867,50,650
34,88%,678,737,796,50,653
35,93%,617,671,725,50,627
36,100%,47,51,55,,51
37,100%,44,48,52,,48
38,100%,41,45,49,,45
39,100%,39,42,45,,42
40,100%,36,39,42,,39
41,100%,33,36,39,,36
42,100%,30,33,36,,33
43,100%,28,30,32,,30
44,100%,25,27,29,,27
45,100%,22,24,26,,24
46+,100%,19,21,23,,21
