Recipe Key,recipe_item_material_enchanting_powder_exquisite
Recipe Name,recipe_item_material_enchanting_powder_exquisite
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,44
XPMultiplier,5.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,2926,3180,3434,40,166
1,4%,2870,3120,3370,41,164
2,4%,2815,3060,3305,42,163
3,4%,2760,3000,3240,43,161
4,4%,2705,2940,3175,44,160
5,4%,2650,2880,3110,45,158
6,4%,2594,2820,3046,46,157
7,4%,2539,2760,2981,47,156
8,4%,2484,2700,2916,48,154
9,4%,2429,2640,2851,49,153
10,4%,2374,2580,2786,50,151
11,4%,2318,2520,2722,50,149
12,4%,2263,2460,2657,50,146
13,4%,2208,2400,2592,50,144
14,4%,2153,2340,2527,50,142
15,4%,2098,2280,2462,50,139
16,4%,2042,2220,2398,50,137
17,4%,1987,2160,2333,50,134
18,4%,1932,2100,2268,50,132
19,4%,1877,2040,2203,50,130
20,4%,1822,1980,2138,50,127
21,4%,1766,1920,2074,50,125
22,4%,1711,1860,2009,50,122
23,4%,1656,1800,1944,50,120
24,4%,1601,1740,1879,50,118
25,4%,1546,1680,1814,50,115
26,4%,1490,1620,1750,50,113
27,4%,1435,1560,1685,50,110
28,4%,1380,1500,1620,50,108
29,4%,1325,1440,1555,50,106
30,4%,1270,1380,1490,50,103
31,4%,1214,1320,1426,50,101
32,4%,1159,1260,1361,50,98
33,4%,1104,1200,1296,50,96
34,5%,1049,1140,1231,50,108
35,9%,994,1080,1166,50,147
36,16%,938,1020,1102,50,205
37,26%,883,960,1037,50,285
38,39%,828,900,972,50,381
39,54%,773,840,907,50,476
40,68%,718,780,842,50,548
41,80%,662,720,778,50,584
42,88%,607,660,713,50,586
43,93%,552,600,648,50,561
44,100%,54,59,64,,59
45,100%,52,56,60,,56
46,100%,49,53,57,,53
47,100%,46,50,54,,50
48,100%,43,47,51,,47
49,100%,40,44,48,,44
50,100%,38,41,44,,41
51,100%,35,38,41,,38
52,100%,32,35,38,,35
53,100%,29,32,35,,32
54+,100%,27,29,31,,29
