Recipe Key,recipe_item_material_enchanting_powder_fine
Recipe Name,recipe_item_material_enchanting_powder_fine
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,24
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,846,920,994,35,70
1,4%,821,892,964,36,70
2,4%,796,865,934,37,70
3,4%,770,837,904,38,70
4,4%,745,810,874,39,70
5,4%,719,782,845,40,70
6,4%,694,754,815,41,70
7,4%,669,727,785,42,69
8,4%,643,699,755,43,69
9,4%,618,672,725,44,69
10,4%,592,644,696,45,69
11,4%,567,616,666,46,69
12,4%,542,589,636,47,69
13,4%,516,561,606,48,69
14,5%,491,534,576,49,75
15,9%,466,506,546,50,93
16,16%,440,478,517,50,118
17,26%,415,451,487,50,154
18,39%,389,423,457,50,195
19,54%,364,396,427,50,236
20,68%,339,368,397,50,267
21,80%,313,340,368,50,282
22,88%,288,313,338,50,281
23,93%,262,285,308,50,269
24,100%,36,39,42,,39
25,100%,33,36,39,,36
26,100%,30,33,36,,33
27,100%,28,30,32,,30
28,100%,25,27,29,,27
29,100%,22,24,26,,24
30,100%,19,21,23,,21
31,100%,17,18,19,,18
32,100%,14,15,16,,15
33,100%,11,12,13,,12
34+,100%,8,9,10,,9
