Recipe Key,recipe_jewelcrafting_item_enchanting_consumable_tier_3
Recipe Name,recipe_jewelcrafting_item_enchanting_consumable_tier_3
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,1.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,324,352,380,35,48
1,4%,313,340,367,36,48
2,4%,302,328,354,37,49
3,4%,291,316,341,38,49
4,4%,280,304,328,39,50
5,4%,269,292,315,40,50
6,4%,258,280,302,41,51
7,4%,247,268,289,42,51
8,4%,236,256,276,43,52
9,4%,224,244,264,44,52
10,5%,213,232,251,45,55
11,9%,202,220,238,46,62
12,16%,191,208,225,47,73
13,26%,180,196,212,48,86
14,39%,169,184,199,49,102
15,54%,158,172,186,50,116
16,68%,147,160,173,50,125
17,80%,136,148,160,50,128
18,88%,125,136,147,50,126
19,93%,114,124,134,50,119
20,100%,32,35,38,,35
21,100%,29,32,35,,32
22,100%,27,29,31,,29
23,100%,24,26,28,,26
24,100%,21,23,25,,23
25,100%,18,20,22,,20
26,100%,16,17,18,,17
27,100%,13,14,15,,14
28,100%,10,11,12,,11
29,100%,7,8,9,,8
30+,100%,5,5,5,,5
