Recipe Key,recipe_wearable_jewellery_bracelet_common_19
Recipe Name,recipe_wearable_jewellery_bracelet_common_19
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,32
XPMultiplier,2.77
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1259,1368,1478,38,91
1,4%,1228,1335,1442,39,91
2,4%,1198,1302,1406,40,90
3,4%,1167,1269,1370,41,90
4,4%,1137,1235,1334,42,90
5,4%,1106,1202,1298,43,89
6,4%,1075,1169,1262,44,89
7,4%,1045,1136,1227,45,89
8,4%,1014,1102,1191,46,88
9,4%,984,1069,1155,47,88
10,4%,953,1036,1119,48,88
11,4%,923,1003,1083,49,87
12,4%,892,970,1047,50,87
13,4%,861,936,1011,50,85
14,4%,831,903,975,50,84
15,4%,800,870,939,50,83
16,4%,770,837,903,50,81
17,4%,739,803,868,50,80
18,4%,708,770,832,50,79
19,4%,678,737,796,50,77
20,4%,647,704,760,50,76
21,4%,617,670,724,50,75
22,5%,586,637,688,50,81
23,9%,556,604,652,50,102
24,16%,525,571,616,50,133
25,26%,494,537,580,50,176
26,39%,464,504,544,50,227
27,54%,433,471,509,50,277
28,68%,403,438,473,50,314
29,80%,372,404,437,50,333
30,88%,341,371,401,50,332
31,93%,311,338,365,50,318
32,100%,43,47,51,,47
33,100%,40,44,48,,44
34,100%,38,41,44,,41
35,100%,35,38,41,,38
36,100%,32,35,38,,35
37,100%,29,32,35,,32
38,100%,27,29,31,,29
39,100%,24,26,28,,26
40,100%,21,23,25,,23
41,100%,18,20,22,,20
42+,100%,16,17,18,,17
