Recipe Key,recipe_wearable_jewellery_earring_common_22
Recipe Name,recipe_wearable_jewellery_earring_common_22
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,36
XPMultiplier,3.48
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1735,1886,2037,38,112
1,4%,1697,1844,1992,39,111
2,4%,1658,1803,1947,40,111
3,4%,1620,1761,1902,41,110
4,4%,1582,1719,1857,42,109
5,4%,1543,1677,1812,43,108
6,4%,1505,1636,1766,44,108
7,4%,1466,1594,1721,45,107
8,4%,1428,1552,1676,46,106
9,4%,1389,1510,1631,47,106
10,4%,1351,1469,1586,48,105
11,4%,1313,1427,1541,49,104
12,4%,1274,1385,1496,50,103
13,4%,1236,1343,1451,50,102
14,4%,1197,1302,1406,50,100
15,4%,1159,1260,1361,50,98
16,4%,1121,1218,1315,50,97
17,4%,1082,1176,1270,50,95
18,4%,1044,1134,1225,50,93
19,4%,1005,1093,1180,50,92
20,4%,967,1051,1135,50,90
21,4%,928,1009,1090,50,88
22,4%,890,967,1045,50,87
23,4%,852,926,1000,50,85
24,4%,813,884,955,50,83
25,4%,775,842,910,50,82
26,5%,736,800,864,50,90
27,9%,698,759,819,50,117
28,16%,660,717,774,50,157
29,26%,621,675,729,50,212
30,39%,583,633,684,50,277
31,54%,544,592,639,50,342
32,68%,506,550,594,50,391
33,80%,467,508,549,50,415
34,88%,429,466,504,50,416
35,93%,391,425,459,50,398
36,100%,47,51,55,,51
37,100%,44,48,52,,48
38,100%,41,45,49,,45
39,100%,39,42,45,,42
40,100%,36,39,42,,39
41,100%,33,36,39,,36
42,100%,30,33,36,,33
43,100%,28,30,32,,30
44,100%,25,27,29,,27
45,100%,22,24,26,,24
46+,100%,19,21,23,,21
