Recipe Key,recipe_wearable_jewellery_hat_common_4
Recipe Name,recipe_wearable_jewellery_hat_common_4
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,15
XPMultiplier,3.11
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,835,908,981,35,70
1,4%,801,871,940,36,69
2,4%,767,833,900,37,69
3,4%,732,796,860,38,68
4,4%,698,759,820,39,68
5,5%,664,722,779,40,76
6,9%,629,684,739,41,101
7,16%,595,647,699,42,139
8,26%,561,610,658,43,189
9,39%,526,572,618,44,250
10,54%,492,535,578,45,309
11,68%,458,498,537,46,354
12,80%,423,460,497,47,377
13,88%,389,423,457,48,377
14,93%,355,386,416,49,362
15,100%,28,30,32,,30
16,100%,25,27,29,,27
17,100%,22,24,26,,24
18,100%,19,21,23,,21
19,100%,17,18,19,,18
20,100%,14,15,16,,15
21,100%,11,12,13,,12
22,100%,8,9,10,,9
23,100%,6,6,6,,6
24,100%,3,3,3,,3
25+,100%,0,0,0,,0
