Recipe Key,recipe_wearable_jewellery_neck_common_9
Recipe Name,recipe_wearable_jewellery_neck_common_9
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,2.98
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,965,1049,1133,35,76
1,4%,932,1013,1094,36,75
2,4%,899,977,1056,37,75
3,4%,866,942,1017,38,74
4,4%,833,906,978,39,74
5,4%,801,870,940,40,73
6,4%,768,834,901,41,73
7,4%,735,799,863,42,72
8,4%,702,763,824,43,72
9,4%,669,727,785,44,71
10,5%,636,691,747,45,80
11,9%,603,656,708,46,103
12,16%,570,620,669,47,138
13,26%,537,584,631,48,187
14,39%,504,548,592,49,244
15,54%,472,513,554,50,299
16,68%,439,477,515,50,341
17,80%,406,441,476,50,362
18,88%,373,405,438,50,362
19,93%,340,370,399,50,347
20,100%,32,35,38,,35
21,100%,29,32,35,,32
22,100%,27,29,31,,29
23,100%,24,26,28,,26
24,100%,21,23,25,,23
25,100%,18,20,22,,20
26,100%,16,17,18,,17
27,100%,13,14,15,,14
28,100%,10,11,12,,11
29,100%,7,8,9,,8
30+,100%,5,5,5,,5
