Recipe Key,recipe_wearable_jewellery_ring_common_15
Recipe Name,recipe_wearable_jewellery_ring_common_15
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,27
XPMultiplier,2.46
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,982,1068,1153,38,79
1,4%,955,1038,1121,39,79
2,4%,928,1009,1089,40,79
3,4%,901,979,1057,41,79
4,4%,874,950,1026,42,78
5,4%,846,920,994,43,78
6,4%,819,891,962,44,78
7,4%,792,861,930,45,78
8,4%,765,831,898,46,77
9,4%,738,802,866,47,77
10,4%,711,772,834,48,77
11,4%,683,743,802,49,77
12,4%,656,713,770,50,77
13,4%,629,684,739,50,75
14,4%,602,654,707,50,74
15,4%,575,625,675,50,73
16,4%,548,595,643,50,72
17,5%,521,566,611,50,78
18,9%,493,536,579,50,96
19,16%,466,507,547,50,123
20,26%,439,477,515,50,160
21,39%,412,448,484,50,205
22,54%,385,418,452,50,249
23,68%,358,389,420,50,281
24,80%,330,359,388,50,296
25,88%,303,330,356,50,296
26,93%,276,300,324,50,283
27,100%,39,42,45,,42
28,100%,36,39,42,,39
29,100%,33,36,39,,36
30,100%,30,33,36,,33
31,100%,28,30,32,,30
32,100%,25,27,29,,27
33,100%,22,24,26,,24
34,100%,19,21,23,,21
35,100%,17,18,19,,18
36,100%,14,15,16,,15
37+,100%,11,12,13,,12
