Recipe Key,recipe_wearable_jewellery_ring_poor_10
Recipe Name,Onyx Bronze Ring
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,17
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,669,727,785,35,63
1,4%,643,699,755,36,63
2,4%,618,672,725,37,62
3,4%,592,644,696,38,62
4,4%,567,616,666,39,62
5,4%,542,589,636,40,62
6,4%,516,561,606,41,62
7,5%,491,534,576,42,68
8,9%,466,506,546,43,86
9,16%,440,478,517,44,113
10,26%,415,451,487,45,150
11,39%,389,423,457,46,193
12,54%,364,396,427,47,235
13,68%,339,368,397,48,266
14,80%,313,340,368,49,281
15,88%,288,313,338,50,281
16,93%,262,285,308,50,269
17,100%,29,32,35,,32
18,100%,27,29,31,,29
19,100%,24,26,28,,26
20,100%,21,23,25,,23
21,100%,18,20,22,,20
22,100%,16,17,18,,17
23,100%,13,14,15,,14
24,100%,10,11,12,,11
25,100%,7,8,9,,8
26,100%,5,5,5,,5
27+,100%,2,2,2,,2
