Recipe Key,recipe_wearable_jewellery_ring_poor_26
Recipe Name,Simple Silver Tourmaline Ring
Skill,skill_jewelerycrafting
UnlockAtSkillLevel,0
SkillDifficulty,39
XPMultiplier,3.25
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1728,1878,2029,38,112
1,4%,1692,1840,1987,39,111
2,4%,1656,1800,1945,40,110
3,4%,1621,1762,1902,41,110
4,4%,1585,1722,1860,42,109
5,4%,1549,1684,1818,43,109
6,4%,1513,1644,1776,44,108
7,4%,1477,1606,1734,45,107
8,4%,1441,1566,1692,46,107
9,4%,1405,1528,1650,47,106
10,4%,1369,1488,1608,48,106
11,4%,1334,1450,1565,49,105
12,4%,1298,1410,1523,50,104
13,4%,1262,1372,1481,50,103
14,4%,1226,1332,1439,50,101
15,4%,1190,1294,1397,50,100
16,4%,1154,1254,1355,50,98
17,4%,1118,1216,1313,50,97
18,4%,1082,1176,1271,50,95
19,4%,1046,1138,1228,50,94
20,4%,1011,1098,1186,50,92
21,4%,975,1060,1144,50,90
22,4%,939,1020,1102,50,89
23,4%,903,982,1060,50,87
24,4%,867,942,1018,50,86
25,4%,831,904,976,50,84
26,4%,795,864,934,50,83
27,4%,759,826,892,50,81
28,4%,724,786,849,50,79
29,5%,688,748,807,50,87
30,9%,652,708,765,50,112
31,16%,616,670,723,50,149
32,26%,580,630,681,50,200
33,39%,544,592,639,50,261
34,54%,508,552,597,50,321
35,68%,472,514,555,50,366
36,80%,437,474,512,50,388
37,88%,401,436,470,50,389
38,93%,365,396,428,50,372
39,100%,50,54,58,,54
40,100%,47,51,55,,51
41,100%,44,48,52,,48
42,100%,41,45,49,,45
43,100%,39,42,45,,42
44,100%,36,39,42,,39
45,100%,33,36,39,,36
46,100%,30,33,36,,33
47,100%,28,30,32,,30
48,100%,25,27,29,,27
49+,100%,22,24,26,,24
