Recipe Key,recipe_crafter_leatherworking_workbench_2
Recipe Name,recipe_crafter_leatherworking_workbench_2
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,21
XPMultiplier,2.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,737,801,865,35,66
1,4%,712,774,836,36,66
2,4%,688,748,808,37,65
3,4%,664,722,779,38,65
4,4%,640,695,751,39,65
5,4%,615,669,722,40,65
6,4%,591,642,694,41,65
7,4%,567,616,665,42,65
8,4%,542,590,637,43,65
9,4%,518,563,608,44,65
10,4%,494,537,580,45,65
11,5%,470,510,551,46,71
12,9%,445,484,523,47,88
13,16%,421,458,494,48,113
14,26%,397,431,466,49,148
15,39%,372,405,437,50,188
16,54%,348,378,409,50,227
17,68%,324,352,380,50,256
18,80%,300,326,352,50,270
19,88%,275,299,323,50,269
20,93%,251,273,295,50,257
21,100%,33,36,39,,36
22,100%,30,33,36,,33
23,100%,28,30,32,,30
24,100%,25,27,29,,27
25,100%,22,24,26,,24
26,100%,19,21,23,,21
27,100%,17,18,19,,18
28,100%,14,15,16,,15
29,100%,11,12,13,,12
30,100%,8,9,10,,9
31+,100%,6,6,6,,6
