Recipe Key,recipe_item_material_leather_generic_fine
Recipe Name,recipe_item_material_leather_generic_fine
Skill,skill_leatherworking
UnlockAtSkillLevel,20
SkillDifficulty,33
XPMultiplier,3.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,881,958,1034,38,75
21,4%,841,914,988,39,74
22,4%,802,871,941,40,73
23,5%,762,828,894,41,83
24,9%,722,785,848,42,112
25,16%,682,742,801,43,155
26,26%,643,698,754,44,213
27,39%,603,655,708,45,283
28,54%,563,612,661,46,351
29,68%,523,569,614,47,403
30,80%,484,526,568,48,429
31,88%,444,482,521,49,430
32,93%,404,439,474,50,412
33,100%,44,48,52,,48
34,100%,41,45,49,,45
35,100%,39,42,45,,42
36,100%,36,39,42,,39
37,100%,33,36,39,,36
38,100%,30,33,36,,33
39,100%,28,30,32,,30
40,100%,25,27,29,,27
41,100%,22,24,26,,24
42,100%,19,21,23,,21
43+,100%,17,18,19,,18
