Recipe Key,recipe_item_material_leather_generic_fur_fine
Recipe Name,Fine Fur
Skill,skill_leatherworking
UnlockAtSkillLevel,13
SkillDifficulty,26
XPMultiplier,2.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
13,4%,612,665,718,38,63
14,4%,584,635,686,39,63
15,4%,557,605,653,40,63
16,5%,529,575,621,41,70
17,9%,501,545,589,42,89
18,16%,474,515,556,43,118
19,26%,446,485,524,44,158
20,39%,419,455,491,45,205
21,54%,391,425,459,46,250
22,68%,363,395,427,47,284
23,80%,336,365,394,48,301
24,88%,308,335,362,49,300
25,93%,281,305,329,50,287
26,100%,38,41,44,,41
27,100%,35,38,41,,38
28,100%,32,35,38,,35
29,100%,29,32,35,,32
30,100%,27,29,31,,29
31,100%,24,26,28,,26
32,100%,21,23,25,,23
33,100%,18,20,22,,20
34,100%,16,17,18,,17
35,100%,13,14,15,,14
36+,100%,10,11,12,,11
