Recipe Key,recipe_item_material_leather_splits_top_grain_heavy
Recipe Name,recipe_item_material_leather_splits_top_grain_heavy
Skill,skill_leatherworking
UnlockAtSkillLevel,8
SkillDifficulty,19
XPMultiplier,1.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
8,4%,427,464,501,35,52
9,5%,406,441,476,36,58
10,9%,385,418,451,37,73
11,16%,364,395,427,38,95
12,26%,343,372,402,39,125
13,39%,322,350,378,40,161
14,54%,301,327,353,41,195
15,68%,280,304,328,42,221
16,80%,259,281,304,43,233
17,88%,238,258,279,44,232
18,93%,217,236,254,45,222
19,100%,31,34,37,,34
20,100%,29,31,33,,31
21,100%,26,28,30,,28
22,100%,23,25,27,,25
23,100%,20,22,24,,22
24,100%,17,19,21,,19
25,100%,15,16,17,,16
26,100%,12,13,14,,13
27,100%,9,10,11,,10
28,100%,6,7,8,,7
29+,100%,4,4,4,,4
