Recipe Key,recipe_wearable_leather_chest_pilgrim_bol_t3_common
Recipe Name,recipe_wearable_leather_chest_pilgrim_bol_t3_common
Skill,skill_leatherworking
UnlockAtSkillLevel,9
SkillDifficulty,21
XPMultiplier,2.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,565,614,664,35,58
10,4%,539,586,632,36,58
11,5%,512,557,601,37,65
12,9%,486,528,570,38,84
13,16%,459,499,539,39,112
14,26%,433,470,508,40,151
15,39%,406,442,477,41,197
16,54%,380,413,446,42,242
17,68%,353,384,415,43,276
18,80%,327,355,384,44,292
19,88%,300,326,353,45,292
20,93%,274,298,321,46,280
21,100%,33,36,39,,36
22,100%,30,33,36,,33
23,100%,28,30,32,,30
24,100%,25,27,29,,27
25,100%,22,24,26,,24
26,100%,19,21,23,,21
27,100%,17,18,19,,18
28,100%,14,15,16,,15
29,100%,11,12,13,,12
30,100%,8,9,10,,9
31+,100%,6,6,6,,6
