Recipe Key,recipe_wearable_leather_feet_pilgrim_boj_t4_common
Recipe Name,recipe_wearable_leather_feet_pilgrim_boj_t4_common
Skill,skill_leatherworking
UnlockAtSkillLevel,20
SkillDifficulty,34
XPMultiplier,4.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,1074,1168,1261,38,83
21,4%,1028,1117,1207,39,82
22,4%,981,1067,1152,40,81
23,4%,935,1016,1098,41,80
24,5%,889,966,1043,42,91
25,9%,842,916,989,43,125
26,16%,796,865,934,44,175
27,26%,750,815,880,45,244
28,39%,703,764,826,46,326
29,54%,657,714,771,47,407
30,68%,611,664,717,48,468
31,80%,564,613,662,49,499
32,88%,518,563,608,50,500
33,93%,471,512,553,50,480
34,100%,45,49,53,,49
35,100%,42,46,50,,46
36,100%,40,43,46,,43
37,100%,37,40,43,,40
38,100%,34,37,40,,37
39,100%,31,34,37,,34
40,100%,29,31,33,,31
41,100%,26,28,30,,28
42,100%,23,25,27,,25
43,100%,20,22,24,,22
44+,100%,17,19,21,,19
