Recipe Key,recipe_wearable_leather_hands_pilgrim_0_t1_common
Recipe Name,Pilgrim's Gloves
Skill,skill_leatherworking
UnlockAtSkillLevel,5
SkillDifficulty,10
XPMultiplier,1.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
5,54%,206,224,241,35,137
6,68%,191,208,225,36,153
7,80%,177,192,208,37,161
8,88%,163,177,191,38,160
9,93%,148,161,174,39,153
10,100%,23,25,27,,25
11,100%,20,22,24,,22
12,100%,17,19,21,,19
13,100%,15,16,17,,16
14,100%,12,13,14,,13
15,100%,9,10,11,,10
16,100%,6,7,8,,7
17,100%,4,4,4,,4
18,100%,1,1,1,,1
19,100%,0,0,0,,0
20+,100%,0,0,0,,0
