Recipe Key,recipe_wearable_leather_head_hunter_moe_t4_rare
Recipe Name,recipe_wearable_leather_head_hunter_moe_t4_rare
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,42
XPMultiplier,14.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,8108,8813,9518,40,391
1,4%,7949,8640,9331,41,385
2,4%,7790,8467,9145,42,379
3,4%,7631,8294,8958,43,373
4,4%,7472,8122,8771,44,367
5,4%,7313,7949,8585,45,361
6,4%,7154,7776,8398,46,355
7,4%,6995,7603,8211,47,349
8,4%,6836,7430,8025,48,343
9,4%,6677,7258,7838,49,337
10,4%,6518,7085,7652,50,331
11,4%,6359,6912,7465,50,324
12,4%,6200,6739,7278,50,318
13,4%,6041,6566,7092,50,311
14,4%,5882,6394,6905,50,304
15,4%,5723,6221,6718,50,297
16,4%,5564,6048,6532,50,290
17,4%,5405,5875,6345,50,283
18,4%,5246,5702,6159,50,276
19,4%,5087,5530,5972,50,269
20,4%,4928,5357,5785,50,262
21,4%,4769,5184,5599,50,255
22,4%,4610,5011,5412,50,248
23,4%,4451,4838,5225,50,242
24,4%,4292,4666,5039,50,235
25,4%,4133,4493,4852,50,228
26,4%,3974,4320,4666,50,221
27,4%,3815,4147,4479,50,214
28,4%,3656,3974,4292,50,207
29,4%,3497,3802,4106,50,200
30,4%,3338,3629,3919,50,193
31,4%,3180,3456,3732,50,186
32,5%,3021,3283,3546,50,223
33,9%,2862,3110,3359,50,337
34,16%,2703,2938,3173,50,511
35,26%,2544,2765,2986,50,751
36,39%,2385,2592,2799,50,1041
37,54%,2226,2419,2613,50,1328
38,68%,2067,2246,2426,50,1548
39,80%,1908,2074,2239,50,1663
40,88%,1749,1901,2053,50,1675
41,93%,1590,1728,1866,50,1610
42,100%,52,57,62,,57
43,100%,50,54,58,,54
44,100%,47,51,55,,51
45,100%,44,48,52,,48
46,100%,41,45,49,,45
47,100%,39,42,45,,42
48,100%,36,39,42,,39
49,100%,33,36,39,,36
50,100%,30,33,36,,33
51,100%,28,30,32,,30
52+,100%,25,27,29,,27
