Recipe Key,recipe_wearable_leather_legs_hunter_tn_t2_rare
Recipe Name,recipe_wearable_leather_legs_hunter_tn_t2_rare
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,19
XPMultiplier,5.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1814,1972,2130,35,112
1,4%,1750,1902,2055,36,111
2,4%,1686,1833,1979,37,109
3,4%,1622,1763,1904,38,107
4,4%,1558,1694,1829,39,105
5,4%,1494,1624,1754,40,103
6,4%,1430,1554,1679,41,102
7,4%,1366,1485,1604,42,100
8,4%,1302,1415,1528,43,98
9,5%,1238,1346,1453,44,114
10,9%,1174,1276,1378,45,161
11,16%,1110,1206,1303,46,231
12,26%,1046,1137,1228,47,329
13,39%,982,1067,1153,48,445
14,54%,918,998,1077,49,561
15,68%,854,928,1002,50,649
16,80%,790,858,927,50,695
17,88%,726,789,852,50,699
18,93%,662,719,777,50,672
19,100%,31,34,37,,34
20,100%,29,31,33,,31
21,100%,26,28,30,,28
22,100%,23,25,27,,25
23,100%,20,22,24,,22
24,100%,17,19,21,,19
25,100%,15,16,17,,16
26,100%,12,13,14,,13
27,100%,9,10,11,,10
28,100%,6,7,8,,7
29+,100%,4,4,4,,4
