Recipe Key,recipe_wearable_leather_legs_hunter_tn_t3_common
Recipe Name,Hunter's Trousers of Binding Roots III
Skill,skill_leatherworking
UnlockAtSkillLevel,10
SkillDifficulty,23
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
10,4%,641,697,753,35,61
11,4%,612,666,719,36,61
12,4%,584,634,685,37,61
13,5%,555,603,651,38,68
14,9%,526,572,618,39,89
15,16%,498,541,584,40,120
16,26%,469,510,550,41,162
17,39%,440,478,517,42,212
18,54%,411,447,483,43,261
19,68%,383,416,449,44,298
20,80%,354,385,416,45,316
21,88%,325,354,382,46,316
22,93%,297,322,348,47,303
23,100%,35,38,41,,38
24,100%,32,35,38,,35
25,100%,29,32,35,,32
26,100%,27,29,31,,29
27,100%,24,26,28,,26
28,100%,21,23,25,,23
29,100%,18,20,22,,20
30,100%,16,17,18,,17
31,100%,13,14,15,,14
32,100%,10,11,12,,11
33+,100%,7,8,9,,8
