Recipe Key,recipe_item_material_cotton_string
Recipe Name,recipe_item_material_cotton_string
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,21
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,670,728,786,35,63
1,4%,648,704,760,36,63
2,4%,626,680,734,37,63
3,4%,604,656,708,38,63
4,4%,581,632,683,39,63
5,4%,559,608,657,40,63
6,4%,537,584,631,41,63
7,4%,515,560,605,42,63
8,4%,493,536,579,43,63
9,4%,471,512,553,44,63
10,4%,449,488,527,45,63
11,5%,427,464,501,46,68
12,9%,405,440,475,47,84
13,16%,383,416,449,48,107
14,26%,361,392,423,49,138
15,39%,339,368,397,50,174
16,54%,316,344,372,50,209
17,68%,294,320,346,50,234
18,80%,272,296,320,50,246
19,88%,250,272,294,50,245
20,93%,228,248,268,50,234
21,100%,33,36,39,,36
22,100%,30,33,36,,33
23,100%,28,30,32,,30
24,100%,25,27,29,,27
25,100%,22,24,26,,24
26,100%,19,21,23,,21
27,100%,17,18,19,,18
28,100%,14,15,16,,15
29,100%,11,12,13,,12
30,100%,8,9,10,,9
31+,100%,6,6,6,,6
