Recipe Key,recipe_item_material_wool_cloth_coarse
Recipe Name,recipe_item_material_wool_cloth_coarse
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,12
XPMultiplier,1.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,330,358,387,35,48
1,4%,314,342,369,36,48
2,5%,299,325,351,37,52
3,9%,283,308,333,38,63
4,16%,268,291,314,39,79
5,26%,252,274,296,40,101
6,39%,237,258,278,41,125
7,54%,222,241,260,42,149
8,68%,206,224,242,43,166
9,80%,191,207,224,44,174
10,88%,175,190,206,45,173
11,93%,160,174,187,46,165
12,100%,25,27,29,,27
13,100%,22,24,26,,24
14,100%,19,21,23,,21
15,100%,17,18,19,,18
16,100%,14,15,16,,15
17,100%,11,12,13,,12
18,100%,8,9,10,,9
19,100%,6,6,6,,6
20,100%,3,3,3,,3
21,100%,0,0,0,,0
22+,100%,0,0,0,,0
