Recipe Key,recipe_wearable_bottom_cloth_pants_03_founderspack
Recipe Name,recipe_wearable_bottom_cloth_pants_03_founderspack
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,2
XPMultiplier,2.21
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,88%,277,301,325,35,268
1,93%,252,274,296,36,257
2,100%,16,17,18,,17
3,100%,13,14,15,,14
4,100%,10,11,12,,11
5,100%,7,8,9,,8
6,100%,5,5,5,,5
7,100%,2,2,2,,2
8,100%,0,0,0,,0
9,100%,0,0,0,,0
10,100%,0,0,0,,0
11,100%,0,0,0,,0
12+,100%,0,0,0,,0
