Recipe Key,recipe_wearable_cloth_chest_pilgrim_bol2_t3_rare
Recipe Name,Pilgrim's Tunic III
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,27
XPMultiplier,8.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,3194,3472,3750,38,175
1,4%,3106,3376,3646,39,172
2,4%,3018,3280,3542,40,170
3,4%,2929,3184,3439,41,167
4,4%,2841,3088,3335,42,164
5,4%,2753,2992,3231,43,161
6,4%,2664,2896,3128,44,158
7,4%,2576,2800,3024,45,155
8,4%,2488,2704,2920,46,152
9,4%,2399,2608,2817,47,149
10,4%,2311,2512,2713,48,147
11,4%,2223,2416,2609,49,144
12,4%,2134,2320,2506,50,141
13,4%,2046,2224,2402,50,137
14,4%,1958,2128,2298,50,133
15,4%,1869,2032,2195,50,129
16,4%,1781,1936,2091,50,125
17,5%,1693,1840,1987,50,146
18,9%,1604,1744,1884,50,209
19,16%,1516,1648,1780,50,305
20,26%,1428,1552,1676,50,438
21,39%,1340,1456,1572,50,598
22,54%,1251,1360,1469,50,756
23,68%,1163,1264,1365,50,878
24,80%,1075,1168,1261,50,941
25,88%,986,1072,1158,50,948
26,93%,898,976,1054,50,911
27,100%,39,42,45,,42
28,100%,36,39,42,,39
29,100%,33,36,39,,36
30,100%,30,33,36,,33
31,100%,28,30,32,,30
32,100%,25,27,29,,27
33,100%,22,24,26,,24
34,100%,19,21,23,,21
35,100%,17,18,19,,18
36,100%,14,15,16,,15
37+,100%,11,12,13,,12
